"","sample","sv_caller","jaccard_index"
"1","NA12878","lumpy",100
"2","NA12878","delly",99.9869007073618
"3","NA12878","manta",99.9945873777649
"4","NA12878","gridss",99.4958996623251
"5","COLO829","lumpy",100
"6","COLO829","delly",100
"7","COLO829","manta",100
"8","COLO829","gridss",99.909218358576
"9","NA12878","run1",0.124443955530193
"10","NA12878","run2",0.124431978330962
"11","NA12878","run3",0.124440533237998
"12","NA12878","run4",0.124443955530193
"13","NA12878","run5",0.124437966642375
"14","NA12878","run6",0.124437111134028
"15","NA12878","run7",0.124437111134028
"16","NA12878","run8",0.124438822162485
"17","NA12878","run9",0.124436255637444
"18","NA12878","run10",0.124443955530193
"19","COLO829","run1",0.0259280552831231
"20","COLO829","run2",0.0259280552831231
"21","COLO829","run3",0.0259274707188673
"22","COLO829","run4",0.0259263016694284
"23","COLO829","run5",0.0259280552831231
"24","COLO829","run6",0.0259277629977003
"25","COLO829","run7",0.0259280552831231
"26","COLO829","run8",0.0259257171842417
"27","COLO829","run9",0.0259277629977003
"28","COLO829","run10",0.0259268861809697
